National Park,Month,Total,Visitors,Visitor Type
Yosemite,Jan,67284,67284,Day-Only
Indiana Dunes,Jan,86065,86065,Day-Only
Glacier,Jan,23417,23271,Day-Only
Great Smoky Mountains,Feb,502459,499984,Day-Only
Zion,Feb,160232,149640,Day-Only
Yellowstone,Feb,36897,35416,Day-Only
Grand Canyon,Feb,161428,133578,Day-Only
Rocky Mountain,Feb,133771,133268,Day-Only
Acadia,Feb,16123,16123,Day-Only
Grand Teton,Feb,53108,53078,Day-Only
Yosemite,Feb,128222,113069,Day-Only
Indiana Dunes,Feb,93430,93430,Day-Only
Glacier,Feb,17238,17168,Day-Only
Great Smoky Mountains,Mar,931060,913857,Day-Only
Zion,Mar,429455,405337,Day-Only
Yellowstone,Mar,35611,33775,Day-Only
Grand Canyon,Mar,317054,245997,Day-Only
Rocky Mountain,Mar,155819,154968,Day-Only
Acadia,Mar,38060,38060,Day-Only
Grand Teton,Mar,74754,74612,Day-Only
Yosemite,Mar,159906,129994,Day-Only
Indiana Dunes,Mar,171050,171050,Day-Only
Glacier,Mar,30976,30760,Day-Only
Great Smoky Mountains,Apr,1169469,1118431,Day-Only
Zion,Apr,469775,440936,Day-Only
Yellowstone,Apr,67508,64692,Day-Only
Grand Canyon,Apr,421232,340694,Day-Only
Rocky Mountain,Apr,183792,181062,Day-Only
Acadia,Apr,110096,110096,Day-Only
Grand Teton,Apr,87739,87319,Day-Only
Yosemite,Apr,257158,186209,Day-Only
Indiana Dunes,Apr,234442,230874,Day-Only
Glacier,Apr,53134,52504,Day-Only
Great Smoky Mountains,May,1363183,1295144,Day-Only
Zion,May,610301,577801,Day-Only
Yellowstone,May,473799,427300,Day-Only
Grand Canyon,May,484442,374847,Day-Only
Rocky Mountain,May,335060,326609,Day-Only
Acadia,May,324654,314183,Day-Only
Grand Teton,May,364876,317306,Day-Only
Yosemite,May,348006,255666,Day-Only
Indiana Dunes,May,396362,392286,Day-Only
Glacier,May,175277,164929,Day-Only
Great Smoky Mountains,Jun,1539247,1459650,Day-Only
Zion,Jun,675799,642853,Day-Only
Yellowstone,Jun,938845,747938,Day-Only
Grand Canyon,Jun,538530,409910,Day-Only
Rocky Mountain,Jun,671232,646664,Day-Only
Acadia,Jun,661919,637484,Day-Only
Grand Teton,Jun,757897,622110,Day-Only
Yosemite,Jun,429980,263846,Day-Only
Indiana Dunes,Jun,319611,315172,Day-Only
Glacier,Jun,587237,534996,Day-Only
Great Smoky Mountains,Jul,1730987,1665066,Day-Only
Zion,Jul,581496,541664,Day-Only
Yellowstone,Jul,1080767,802583,Day-Only
Grand Canyon,Jul,556766,445937,Day-Only
Rocky Mountain,Jul,904767,874237,Day-Only
Acadia,Jul,782146,743741,Day-Only
Grand Teton,Jul,835846,675259,Day-Only
Yosemite,Jul,509874,325723,Day-Only
Indiana Dunes,Jul,594272,590037,Day-Only
Glacier,Jul,796868,718888,Day-Only
Great Smoky Mountains,Aug,1398161,1349577,Day-Only
Zion,Aug,466928,429231,Day-Only
Yellowstone,Aug,921844,665177,Day-Only
Grand Canyon,Aug,430684,341294,Day-Only
Rocky Mountain,Aug,746343,717886,Day-Only
Acadia,Aug,795437,757093,Day-Only
Grand Teton,Aug,703118,548399,Day-Only
Yosemite,Aug,432038,261907,Day-Only
Indiana Dunes,Aug,437313,431435,Day-Only
Glacier,Aug,670628,597532,Day-Only
Great Smoky Mountains,Sep,1355599,1309232,Day-Only
Zion,Sep,483180,451934,Day-Only
Yellowstone,Sep,882078,695690,Day-Only
