ParkName,Month,High/Low,Temp (F),Precipitation
Great Smoky Mountains,Apr,Low,42,"4.5"""
Great Smoky Mountains,May,Low,50,"4.5"""
Great Smoky Mountains,Jun,Low,58,"5.2"""
Great Smoky Mountains,Jul,Low,59,"5.7"""
Great Smoky Mountains,Aug,Low,60,"5.3"""
Great Smoky Mountains,Sep,Low,55,"3.0"""
Great Smoky Mountains,Oct,Low,43,"3.1"""
Great Smoky Mountains,Nov,Low,33,"3.4"""
Great Smoky Mountains,Dec,Low,28,"4.5"""
Zion,Jan,Low,30,"1.8"""
Zion,Feb,Low,34,"2.0"""
Zion,Mar,Low,39,"2.0"""
Zion,Apr,Low,45,"1.3"""
Zion,May,Low,54,"0.7"""
Zion,Jun,Low,63,"0.3"""
Zion,Jul,Low,70,"1.2"""
Zion,Aug,Low,68,"1.5"""
Zion,Sep,Low,61,"1.0"""
Zion,Oct,Low,48,"1.3"""
Zion,Nov,Low,37,"1.4"""
Zion,Dec,Low,30,"1.6"""
Yellowstone,Jan,Low,9.6,"1.1"""
Yellowstone,Feb,Low,13,"0.75"""
Yellowstone,Mar,Low,17.2,"1.1"""
Yellowstone,Apr,Low,26,"1.2"""
Yellowstone,May,Low,34.3,"2"""
Yellowstone,Jun,Low,41.2,"1.5"""
Yellowstone,Jul,Low,46.7,"1.5"""
Yellowstone,Aug,Low,45.3,"1.4"""
Yellowstone,Sep,Low,37,"1.3"""
Yellowstone,Oct,Low,29.4,"1"""
Yellowstone,Nov,Low,19.2,"1"""
Yellowstone,Dec,Low,11.8,"1"""
Grand Canyon,Jan,Low,18,"1.32"""
Grand Canyon,Feb,Low,21,"1.55"""
Grand Canyon,Mar,Low,25,"1.38"""
Grand Canyon,Apr,Low,32,"0.93"""
Grand Canyon,May,Low,39,"0.66"""
Grand Canyon,Jun,Low,47,"0.42"""
Grand Canyon,Jul,Low,54,"1.81"""
Grand Canyon,Aug,Low,53,"2.25"""
Grand Canyon,Sep,Low,47,"1.56"""
Grand Canyon,Oct,Low,36,"1.1"""
Grand Canyon,Nov,Low,27,"0.94"""
Grand Canyon,Dec,Low,20,"1.64"""
Rocky Mountain,Jan,Low,16,"0.37"""
Rocky Mountain,Feb,Low,17,"0.45"""
Rocky Mountain,Mar,Low,21,"0.86"""
Rocky Mountain,Apr,Low,27,"1.28"""
Rocky Mountain,May,Low,34,"2.02"""
Rocky Mountain,Jun,Low,41,"1.76"""
Rocky Mountain,Jul,Low,46,"2.21"""
Rocky Mountain,Aug,Low,45,"1.86"""
Rocky Mountain,Sep,Low,38,"1.17"""
Rocky Mountain,Oct,Low,30,"0.81"""
Rocky Mountain,Nov,Low,23,"0.60"""
Rocky Mountain,Dec,Low,18,"0.47"""
Acadia,Jan,Low,10,"4.92"""
Acadia,Feb,Low,14,"4.33"""
Acadia,Mar,Low,22,"5.39"""
Acadia,Apr,Low,32,"4.76"""
Acadia,May,Low,42,"4.65"""
Acadia,Jun,Low,51,"4.13"""
Acadia,Jul,Low,57,"3.50"""
Acadia,Aug,Low,56,"3.31"""
Acadia,Sep,Low,48,"4.45"""
Acadia,Oct,Low,38,"5.31"""
Acadia,Nov,Low,29,"6.46"""
Acadia,Dec,Low,17,"5.47"""
Grand Teton,Jan,Low,0.9,"2.62"""
Grand Teton,Feb,Low,3.2,"1.89"""
Grand Teton,Mar,Low,12.1,"1.61"""
Grand Teton,Apr,Low,22.3,"1.52"""
Grand Teton,May,Low,30.8,"1.95"""
Grand Teton,Jun,Low,37.3,"1.74"""
Grand Teton,Jul,Low,41.6,"1.15"""
Grand Teton,Aug,Low,39.7,"1.33"""
Grand Teton,Sep,Low,32.1,"1.40"""
Grand Teton,Oct,Low,32.2,"1.44"""
Grand Teton,Nov,Low,13.6,"2.14"""
Grand Teton,Dec,Low,1.8,"2.55"""
Yosemite,Jan,Low,29,"7.0"""
Yosemite,Feb,Low,30,"6.5"""
Yosemite,Mar,Low,34,"5.5"""
Yosemite,Apr,Low,38,"3.2"""
Yosemite,May,Low,45,"1.9"""
Yosemite,Jun,Low,51,"0.5"""
Yosemite,Jul,Low,57,"0.3"""
Yosemite,Aug,Low,57,"0.2"""
Yosemite,Sep,Low,51,"0.4"""
Yosemite,Oct,Low,41,"1.6"""
Yosemite,Nov,Low,33,"4.1"""
Yosemite,Dec,Low,28,"5.6"""
Indian Dunes,Jan,Low,19,"2.3"""
Indian Dunes,Feb,Low,21,"2.3"""
Indian Dunes,Mar,Low,32,"3.0"""
Indian Dunes,Apr,Low,41,"4.6"""
Indian Dunes,May,Low,53,"5.3"""
Indian Dunes,Jun,Low,61,"6.6"""
Indian Dunes,Jul,Low,64,"5.4"""
Indian Dunes,Aug,Low,63,"5.0"""
Indian Dunes,Sep,Low,57,"3.0"""
Indian Dunes,Oct,Low,47,"3.3"""
Indian Dunes,Nov,Low,36,"2.4"""
Indian Dunes,Dec,Low,27,"2.3"""
Glacier,Jan,Low,14.9,"3.4"""
Glacier,Feb,Low,18.8,"2.37"""
Glacier,Mar,Low,22.8,"1.86"""
Glacier,Apr,Low,28.7,"1.81"""
Glacier,May,Low,37.1,"2.57"""
Glacier,Jun,Low,43.7,"3.28"""
Glacier,Jul,Low,47.2,"1.75"""
Glacier,Aug,Low,46.3,"1.64"""
Glacier,Sep,Low,38.8,"2.06"""
Glacier,Oct,Low,31.8,"2.33"""
Glacier,Nov,Low,24.9,"3.10"""
Glacier,Dec,Low,18.4,"3.30"""
