ParkName,Month,OvernightType,Number
Zion,Aug,Backcountry Campers,1206
Zion,Sep,Misc Overnight Stay,1655
Zion,Sep,Concessioner Lodging,4806
Zion,Sep,Concessioner Camping,0
Zion,Sep,Tent Campers,15670
Zion,Sep,RV Campers,7615
Zion,Sep,Backcountry Campers,1500
Zion,Oct,Misc Overnight Stay,1765
Zion,Oct,Concessioner Lodging,4652
Zion,Oct,Concessioner Camping,0
Zion,Oct,Tent Campers,11916
Zion,Oct,RV Campers,7181
Zion,Oct,Backcountry Campers,1769
Zion,Nov,Misc Overnight Stay,1152
Zion,Nov,Concessioner Lodging,4261
Zion,Nov,Concessioner Camping,0
Zion,Nov,Tent Campers,7298
Zion,Nov,RV Campers,5431
Zion,Nov,Backcountry Campers,931
Zion,Dec,Misc Overnight Stay,58
Zion,Dec,Concessioner Lodging,3624
Zion,Dec,Concessioner Camping,0
Zion,Dec,Tent Campers,4336
Zion,Dec,RV Campers,4798
Zion,Dec,Backcountry Campers,126
Yellowstone,Jan,Misc Overnight Stay,0
Yellowstone,Jan,Concessioner Lodging,1014
Yellowstone,Jan,Concessioner Camping,0
Yellowstone,Jan,Tent Campers,115
Yellowstone,Jan,RV Campers,422
Yellowstone,Jan,Backcountry Campers,102
Yellowstone,Feb,Misc Overnight Stay,0
Yellowstone,Feb,Concessioner Lodging,1020
Yellowstone,Feb,Concessioner Camping,0
Yellowstone,Feb,Tent Campers,93
Yellowstone,Feb,RV Campers,275
Yellowstone,Feb,Backcountry Campers,93
Yellowstone,Mar,Misc Overnight Stay,0
Yellowstone,Mar,Concessioner Lodging,853
Yellowstone,Mar,Concessioner Camping,0
Yellowstone,Mar,Tent Campers,250
Yellowstone,Mar,RV Campers,582
Yellowstone,Mar,Backcountry Campers,151
Yellowstone,Apr,Misc Overnight Stay,0
Yellowstone,Apr,Concessioner Lodging,0
Yellowstone,Apr,Concessioner Camping,0
Yellowstone,Apr,Tent Campers,534
Yellowstone,Apr,RV Campers,2003
Yellowstone,Apr,Backcountry Campers,179
Yellowstone,May,Misc Overnight Stay,0
Yellowstone,May,Concessioner Lodging,19008
Yellowstone,May,Concessioner Camping,18096
Yellowstone,May,Tent Campers,2970
Yellowstone,May,RV Campers,5162
Yellowstone,May,Backcountry Campers,1263
Yellowstone,Jun,Misc Overnight Stay,382
Yellowstone,Jun,Concessioner Lodging,76656
Yellowstone,Jun,Concessioner Camping,89782
Yellowstone,Jun,Tent Campers,9760
Yellowstone,Jun,RV Campers,8614
Yellowstone,Jun,Backcountry Campers,5712
Yellowstone,Jul,Misc Overnight Stay,951
Yellowstone,Jul,Concessioner Lodging,99731
Yellowstone,Jul,Concessioner Camping,138067
Yellowstone,Jul,Tent Campers,14682
Yellowstone,Jul,RV Campers,11094
Yellowstone,Jul,Backcountry Campers,13659
Yellowstone,Aug,Misc Overnight Stay,1461
Yellowstone,Aug,Concessioner Lodging,93787
Yellowstone,Aug,Concessioner Camping,123504
Yellowstone,Aug,Tent Campers,12397
Yellowstone,Aug,RV Campers,11677
Yellowstone,Aug,Backcountry Campers,13841
Yellowstone,Sep,Misc Overnight Stay,523
Yellowstone,Sep,Concessioner Lodging,94959
Yellowstone,Sep,Concessioner Camping,62496
Yellowstone,Sep,Tent Campers,8467
Yellowstone,Sep,RV Campers,12573
Yellowstone,Sep,Backcountry Campers,7370
Yellowstone,Oct,Misc Overnight Stay,6
Yellowstone,Oct,Concessioner Lodging,18485
Yellowstone,Oct,Concessioner Camping,10771
Yellowstone,Oct,Tent Campers,2682
Yellowstone,Oct,RV Campers,5840
Yellowstone,Oct,Backcountry Campers,909
Yellowstone,Nov,Misc Overnight Stay,0
Yellowstone,Nov,Concessioner Lodging,2024
Yellowstone,Nov,Concessioner Camping,0
Yellowstone,Nov,Tent Campers,301
Yellowstone,Nov,RV Campers,893
Yellowstone,Nov,Backcountry Campers,62
Yellowstone,Dec,Misc Overnight Stay,0
Yellowstone,Dec,Concessioner Lodging,5385
Yellowstone,Dec,Concessioner Camping,0
Yellowstone,Dec,Tent Campers,160
Yellowstone,Dec,RV Campers,230
Yellowstone,Dec,Backcountry Campers,13
Grand Canyon,Jan,Misc Overnight Stay,0
Grand Canyon,Jan,Concessioner Lodging,10614
Grand Canyon,Jan,Concessioner Camping,1321
Grand Canyon,Jan,Tent Campers,2237
Grand Canyon,Jan,RV Campers,1004
Grand Canyon,Jan,Backcountry Campers,8955
Grand Canyon,Feb,Misc Overnight Stay,0
Grand Canyon,Feb,Concessioner Lodging,14008
Grand Canyon,Feb,Concessioner Camping,1644
Grand Canyon,Feb,Tent Campers,1930
Grand Canyon,Feb,RV Campers,832
Grand Canyon,Feb,Backcountry Campers,9436
Grand Canyon,Mar,Misc Overnight Stay,0
Grand Canyon,Mar,Concessioner Lodging,28808
Grand Canyon,Mar,Concessioner Camping,3929
Grand Canyon,Mar,Tent Campers,9304
Grand Canyon,Mar,RV Campers,4209
Grand Canyon,Mar,Backcountry Campers,24807
Grand Canyon,Apr,Misc Overnight Stay,0
Grand Canyon,Apr,Concessioner Lodging,33144
Grand Canyon,Apr,Concessioner Camping,3687
Grand Canyon,Apr,Tent Campers,12081
Grand Canyon,Apr,RV Campers,5091
Grand Canyon,Apr,Backcountry Campers,26535
Grand Canyon,May,Misc Overnight Stay,0
Grand Canyon,May,Concessioner Lodging,34006
Grand Canyon,May,Concessioner Camping,3068
Grand Canyon,May,Tent Campers,14766
Grand Canyon,May,RV Campers,6186
Grand Canyon,May,Backcountry Campers,51569
Grand Canyon,Jun,Misc Overnight Stay,1389
Grand Canyon,Jun,Concessioner Lodging,55770
Grand Canyon,Jun,Concessioner Camping,4669
Grand Canyon,Jun,Tent Campers,17487
Grand Canyon,Jun,RV Campers,8662
Grand Canyon,Jun,Backcountry Campers,40644
Grand Canyon,Jul,Misc Overnight Stay,2170
Grand Canyon,Jul,Concessioner Lodging,42547
Grand Canyon,Jul,Concessioner Camping,5152
Grand Canyon,Jul,Tent Campers,16241
Grand Canyon,Jul,RV Campers,8104
Grand Canyon,Jul,Backcountry Campers,36615
Grand Canyon,Aug,Misc Overnight Stay,1240
